1
30
1
30
1
15
30
2
2
2
2 
4
1 
1
1
1
2
1 16 
-10
2
18.076	17.652
-4.0093	-2.5941
-3.2306	-2.3155
-0.693147180559945	-2.009
0	0
1.38629436111989	1.38629436111989
0	0
1.38629436111989	1.38629436111989
0	0
2.30258509299405	2.30258509299405
0	0
1.38629436111989	1.38629436111989
0	0
2.30258509299405	2.30258509299405
0	0
1.38629436111989	1.38629436111989
-15.105
-15.105
-17.15
-17.15
-12.816
-12.816
0.2693
0.77891
206498.460341601	264403.098130069	307208.884779397	318253.569606439	440032.491606973	308043.936484877	352773.920935396	403151.125130471	388816.365705162	414574.0603594	379149.321294561	391768.788801228	343011.984078144	351628.427850303	395184.014534419	399609.372157223	422515.508787853	420241.296849749	389488.817192401	491266.235041797	326163.310429876	361735.978857013	406566.587912551	389977.920258451	414422.796027096	379180.719795385	391792.295989541	343039.768111487	351656.975963814	395212.020204464
590714.662188475	865266.500286179	922331.813241574	947335.451997736	1215414.34700521	1071028.26261386	1201077.39229261	1246901.4748121	1324574.52967302	1310412.80103557	1292637.56507133	1439124.74892246	1092715.33614566	1110228.62205396	1300388.73794312	1217720.7927055	1435219.99796075	1286377.60112409	1161655.71530364	1351767.54557502	1122753.99675609	1220281.37106865	1249974.82048191	1325669.61319707	1309931.10900153	1292691.65398386	1439176.74899773	1092762.48230521	1110276.08132177	1300437.61421396
556118.591242049	617511.820278244	577365.368428961	742953.742702463	708696.339162662	635998.626319992	722669.847681438	810103.823370374	843092.865745026	755929.897755688	724041.454287995	822432.624021514	775279.253028459	910003.533160326	807000.09414572	867082.59594702	911161.06757628	808554.782569747	992274.617439675	900970.618250136	772584.598716431	846883.426991481	917543.221176884	925668.372232163	814942.409714395	766302.568576927	859335.666037697	801775.062401773	934198.882573094	823647.638974047
1095865.63994456	1189735.04280652	1183833.70266655	1526621.47395188	1451567.19213438	1530689.20500731	1442458.78542703	1701501.05788719	1915549.74895883	1597628.43906075	1679964.62127447	1750910.45341808	1511475.13493792	2030846.33688821	1950136.6514362	1852853.10699863	1911623.79118322	1800966.74518991	2206498.87298815	1982482.46117714	1983556.69671589	1780950.53448526	2006489.89391051	2165916.79162109	1756995.02653323	1805739.11214704	1850968.95587245	1577420.9771077	2099189.10558245	2000967.37001367
46	44	56	48	25	13	7	4	7	0	0	0	0	0	0
46	49	43	42	29	22	9	3	2	3	1	1	0	0	0
57	42	35	47	33	17	6	7	5	1	0	0	0	0	0
23	34	61	43	27	32	16	8	3	1	1	0	0	1	0
32	26	43	50	38	31	10	11	8	0	1	0	0	0	0
32	25	25	42	40	43	24	8	6	4	1	0	0	0	0
21	30	41	32	49	35	23	10	4	3	1	1	0	0	0
41	20	32	41	27	36	25	16	9	3	0	0	0	0	0
19	18	45	45	45	26	17	21	11	2	0	0	1	0	0
23	21	40	40	35	40	28	14	7	2	0	0	0	0	0
29	21	36	40	51	25	21	10	10	5	2	0	0	0	0
29	20	46	26	43	31	30	13	7	4	1	0	0	0	0
26	27	37	39	32	35	24	18	6	1	5	0	0	0	0
19	20	37	44	35	28	29	16	15	4	3	0	0	0	0
33	19	35	40	41	30	24	19	5	3	1	0	0	0	0
22	22	29	38	44	26	20	23	21	3	2	0	0	0	0
33	18	41	31	49	34	18	12	6	7	1	0	0	0	0
35	23	37	38	43	24	23	10	7	6	3	0	0	1	0
18	23	30	41	47	34	24	22	9	2	0	0	0	0	0
35	20	38	34	28	31	26	22	8	6	1	0	0	1	0
42	32	38	39	27	24	21	16	2	9	0	0	0	0	0
29	24	39	34	41	27	19	15	8	8	4	1	1	0	0
38	13	36	45	23	32	25	17	12	5	2	2	0	0	0
21	30	36	38	47	26	22	9	8	10	3	0	0	0	0
26	28	40	43	35	36	16	14	8	4	0	0	0	0	0
26	20	36	49	28	30	28	17	9	5	1	1	0	0	0
26	23	33	28	45	22	37	17	12	5	2	0	0	0	0
37	15	39	34	34	33	27	16	12	3	0	0	0	0	0
29	25	35	39	32	36	22	13	9	7	2	1	0	0	0
30	22	34	42	36	38	23	14	6	3	2	0	0	0	0
41	37	56	56	25	19	7	4	4	1	0	0	0	0	0
37	40	53	57	37	18	4	2	1	0	1	0	0	0	0
22	39	57	51	34	25	14	2	2	4	0	0	0	0	0
23	28	47	51	38	33	20	5	5	0	0	0	0	0	0
29	15	36	64	43	31	15	10	3	3	0	1	0	0	0
19	30	23	44	54	46	19	12	3	0	0	0	0	0	0
20	20	41	27	50	38	23	16	10	2	2	1	0	0	0
29	20	37	46	28	38	27	16	5	3	0	1	0	0	0
19	26	32	42	52	28	21	23	4	3	0	0	0	0	0
30	20	30	46	39	33	27	17	6	1	0	1	0	0	0
18	20	22	57	42	50	23	3	6	7	1	1	0	0	0
18	18	42	40	46	37	19	20	4	2	3	1	0	0	0
27	20	29	41	39	39	29	20	3	0	1	1	0	1	0
18	19	48	34	44	32	26	15	8	5	1	0	0	0	0
38	23	40	46	35	29	16	12	7	4	0	0	0	0	0
20	31	21	47	29	41	31	15	11	2	0	2	0	0	0
19	27	31	38	51	33	20	21	8	2	0	0	0	0	0
24	23	32	41	43	33	31	14	6	1	2	0	0	0	0
11	23	43	32	50	40	21	22	6	1	1	0	0	0	0
31	19	35	48	26	44	26	14	4	3	0	0	0	0	0
21	27	36	44	38	26	31	18	5	3	1	0	0	0	0
18	19	54	35	47	36	21	13	5	2	0	0	0	0	0
23	32	31	44	39	26	32	10	8	3	2	0	0	0	0
18	30	31	42	42	26	31	20	4	2	2	0	1	1	0
22	17	44	49	44	32	22	9	6	3	0	1	0	0	1
24	22	27	47	34	38	32	17	7	0	0	2	0	0	0
19	26	35	39	46	38	26	16	3	2	0	0	0	0	0
23	22	35	44	42	36	27	12	6	3	0	0	0	0	0
19	22	39	42	39	36	23	18	7	5	0	0	0	0	0
34	15	45	39	30	35	27	19	6	0	0	0	0	0	0
23	32	27	22	25	31	22	14	18	9	4	6	3	2	12
